time,value,mets,level
04:44:15,76,,
04:44:30,76,,
04:44:45,76,,
04:45:00,76,,
04:45:15,76,,
04:45:20,78,,
04:45:30,78,,
04:45:40,75,,
04:45:45,75,,
04:46:00,74,,
04:46:10,75,,
04:46:25,75,,
04:46:40,74,,
04:46:55,74,,
04:47:00,75,,
04:47:15,75,,
04:47:20,76,,
04:47:30,76,,
04:47:40,77,,
04:47:50,78,,
04:48:00,75,,
04:48:10,74,,
04:48:25,74,,
04:48:40,74,,
04:48:45,75,,
04:49:00,75,,
04:49:10,78,,
04:49:20,78,,
04:49:25,77,,
04:49:40,79,,
04:49:50,80,,
04:49:55,82,,
04:50:00,81,,
04:50:10,79,,
04:50:15,79,,
04:50:20,79,,
04:50:35,79,,
04:50:40,76,,
04:50:55,76,,
04:51:00,77,,
04:51:10,79,,
04:51:20,80,,
04:51:30,79,,
04:51:40,78,,
04:51:50,76,,
04:52:00,77,,
04:52:10,81,,
04:52:15,80,,
04:52:30,78,,
04:52:40,77,,
04:52:50,74,,
04:53:00,73,,
04:53:10,78,,
04:53:20,79,,
04:53:25,78,,
04:53:40,78,,
04:53:50,77,,
04:54:00,75,,
04:54:10,74,,
04:54:20,75,,
04:54:30,76,,
04:54:45,76,,
04:54:50,75,,
04:55:00,75,,
04:55:10,75,,
04:55:25,75,,
04:55:30,75,,
04:55:40,76,,
04:55:45,75,,
04:56:00,74,,
04:56:10,75,,
04:56:20,75,,
04:56:30,75,,
04:56:35,76,,
04:56:50,77,,
04:57:00,78,,
04:57:05,79,,
04:57:15,80,,
04:57:20,79,,
04:57:30,81,,
04:57:35,79,,
04:57:50,79,,
04:57:55,80,,
04:58:00,80,,
04:58:05,81,,
04:58:10,80,,
04:58:20,79,,
04:58:35,79,,
04:58:40,77,,
04:58:45,77,,
04:59:00,76,,
04:59:15,76,,
04:59:20,77,,
04:59:30,80,,
04:59:40,81,,
04:59:50,80,,
04:59:55,81,,
05:00:05,82,,
05:00:10,86,,
05:00:15,87,,
05:00:20,85,,
05:00:30,86,,
05:00:45,86,,
05:01:00,86,,
05:01:10,88,,
05:01:15,89,,
05:01:20,84,,
05:01:25,86,,
05:01:30,89,,
05:01:35,90,,
05:01:40,89,,
05:01:45,87,,
05:01:50,85,,
05:01:55,82,,
05:02:00,80,,
05:02:10,81,,
05:02:20,80,,
05:02:30,73,,
05:02:40,72,,
05:02:55,72,,
05:03:00,75,,
05:03:10,74,,
05:03:20,72,,
05:03:30,71,,
05:03:40,72,,
05:03:50,74,,
05:04:00,73,,
05:04:10,72,,
05:04:20,72,,
05:04:25,70,,
05:04:40,69,,
05:04:50,69,,
05:05:00,66,,
05:05:10,65,,
05:05:25,65,,
05:05:40,66,,
05:05:50,67,,
05:06:00,65,,
05:06:10,66,,
05:06:25,66,,
05:06:30,65,,
05:06:40,63,,
05:06:50,64,,
05:07:00,64,,
05:07:10,66,,
05:07:20,71,,
05:07:30,71,,
05:07:40,69,,
05:07:50,70,,
05:08:00,68,,
05:08:10,69,,
05:08:20,70,,
05:08:35,70,,
05:08:40,68,,
05:08:50,67,,
05:09:00,66,,
05:09:10,66,,
05:09:20,66,,
05:09:30,69,,
05:09:40,70,,
05:09:55,70,,
05:10:10,71,,
05:10:20,70,,
05:10:30,72,,
05:10:40,73,,
05:10:50,70,,
05:11:05,70,,
05:11:10,69,,
05:11:20,71,,
05:11:30,71,,
05:11:40,72,,
05:11:50,70,,
05:12:00,71,,
05:12:15,71,,
05:12:20,72,,
05:12:30,73,,
05:12:40,74,,
05:12:50,73,,
05:13:05,73,,
05:13:20,73,,
05:13:30,72,,
05:13:40,73,,
05:13:55,73,,
05:14:10,72,,
05:14:20,73,,
05:14:30,74,,
05:14:45,74,,
05:14:50,73,,
05:15:00,73,,
05:15:15,73,,
05:15:30,73,,
05:15:40,72,,
05:15:50,72,,
05:16:05,72,,
05:16:10,74,,
05:16:15,74,,
05:16:30,81,,
05:16:40,77,,
05:16:50,74,,
05:17:00,72,,
05:17:10,71,,
05:17:20,70,,
05:17:30,69,,
05:17:40,70,,
05:17:55,70,,
05:18:00,71,,
05:18:10,78,,
05:18:20,73,,
05:18:30,71,,
05:18:40,69,,
05:18:55,69,,
05:19:00,67,,
05:19:15,67,,
05:19:30,68,,
05:19:40,69,,
05:19:55,69,,
05:20:00,69,,
05:20:10,70,,
05:20:20,71,,
05:20:30,70,,
05:20:40,71,,
05:20:55,71,,
05:21:00,72,,
05:21:10,71,,
05:21:20,71,,
05:21:35,71,,
05:21:40,72,,
05:21:50,70,,
05:22:00,73,,
05:22:10,74,,
05:22:25,74,,
05:22:30,73,,
05:22:45,73,,
05:22:50,75,,
05:23:00,74,,
05:23:15,74,,
05:23:20,73,,
05:23:35,73,,
05:23:40,74,,
05:23:50,75,,
05:24:00,74,,
05:24:15,74,,
05:24:30,74,,
05:24:45,74,,
05:24:50,75,,
05:25:05,75,,
05:25:20,75,,
05:25:30,75,,
05:25:40,74,,
05:25:55,74,,
05:26:10,74,,
05:26:20,73,,
05:26:30,74,,
05:26:45,74,,
05:26:50,73,,
05:27:00,74,,
05:27:10,75,,
05:27:25,75,,
05:27:40,74,,
05:27:50,75,,
05:28:00,76,,
05:28:15,76,,
05:28:20,75,,
05:28:30,76,,
05:28:45,76,,
05:29:00,75,,
05:29:15,75,,
05:29:30,75,,
05:29:40,74,,
05:29:55,74,,
05:30:00,75,,
05:30:15,75,,
05:30:20,74,,
05:30:35,74,,
05:30:40,75,,
05:30:55,75,,
05:31:10,75,,
05:31:25,75,,
05:31:30,76,,
05:31:45,76,,
05:31:50,74,,
05:32:00,75,,
05:32:15,75,,
05:32:30,74,,
05:32:45,74,,
05:33:00,75,,
05:33:15,75,,
05:33:20,76,,
